Australia,Austria,Belgium,Canada,Chile,France,Germany,Greece,Ireland,Italy,Japan,Korea,Netherlands,Portugal,Spain,Switzerland,Turkey,UK,US
0,522,1618,19182,3,22388,30737,36,696,2013,109413,3904,58488,10,0,12389,28,48418,99566
63,0,1112,1127,1,15429,58197,455,0,80556,5810,78,10187,30,0,12236,160,5881,12853
1091,1648,0,1106,2,173272,26285,611,448,7708,18393,348,0,574,0,8316,207,14434,19970
10419,822,1624,0,282,23252,25345,52,877,2182,64002,2073,13624,188,0,20673,9,82327,120279
13,14,16,0,0,0,3564,0,0,53,6704,234,0,22,0,1422,0,4536,10075
11308,8510,16918,20351,753,0,185321,1127,4359,42510,158324,789,91965,4370,49607,85263,628,170472,202685
9110,38705,14275,26484,115,168422,0,2101,1072,187290,109185,2630,169683,1325,0,97210,2387,127139,163053
52,161,27,0,0,1449,20523,0,0,868,195,327,1064,188,0,1487,46,4512,1478
1832,948,14693,4593,0,34583,46635,242,0,7928,40016,542,13550,3109,5276,14185,301,92865,67632
267,5974,9106,1375,4,277034,96392,390,1326,0,30127,381,28705,5817,46730,24820,114,37645,56864
19670,57,806,22806,27,187029,24354,39,27,5839,0,8195,12032,14,0,21276,330,106686,297524
5630,355,134,3759,36,20706,14346,0,0,199,49144,0,0,2,0,8657,0,69880,87307
7709,6462,22444,12409,158,103701,125829,390,1949,17775,82401,826,0,8622,17469,43001,1982,95402,92194
80,357,297,0,0,12471,15218,36,282,2649,550,193,3294,0,61085,1071,0,10415,4927
365,3232,9792,1371,45,117009,85305,117,2353,33248,19709,178,40532,13012,0,15139,301,31201,43327
2141,6842,498,5368,82,68714,82417,296,190,10804,26502,206,24489,1015,6507,0,149,54677,59736
263,1071,127,1798,61,39184,16318,28853,0,8117,11863,1179,0,19,0,6500,0,29446,22405
138914,13196,20413,101516,1228,226394,397470,11031,78737,54015,178293,2697,114673,2465,356598,269487,7305,0,470588
103984,11270,13121,771356,10500,506104,479631,1991,5225,29778,1344060,20591,191073,2826,243827,581650,3313,978845,0
